

2 intermediates ; 10G ; 4 genes interacting with A or B

 c c m c m c  m c m c
 c c c m c m  c m c m
 m c c m m m  m m m m
 c m m c m m  m m m m
 m c m m c m  m m m m
 c m m m m c  m m m m
 
 m c m m m m  c m m m 
 c m m m m m  m c m m 
 m c m m m m  m m c m 
 c m m m m m  m m m c 


3 intermediates ;  18 G ; 4 genes interacting with A or B (two "groups" : CDOPGHKL = do not interact with eachother ; QREFIJMN = interact with everyone but A and B)

   A B C D E F G H I J K L M N O P Q R 
 A c c m c c c m c c c m c c c c m c c
 B c c c m c c c m c c c m c c m c c c
 C m c c c m m c c m m c c m m c c m m
 D c m c c m m c c m m c c m m c c m m
 E c c m m c m m m m m m m m m m m m m
 F c c m m m c m m m m m m m m m m m m
 G m c c c m m c c m m c c m m c c m m
 H c m c c m m c c m m c c m m c c m m
 I c c m m m m m m c m m m m m m m m m
 J c c m m m m m m m c m m m m m m m m
 K m c c c m m c c m m c c m m c c m m
 L c m c c m m c c m m c c m m c c m m
 M c c m m m m m m m m m m c m m m m m
 N c c m m m m m m m m m m m c m m m m
 O c m c c m m c c m m c c m m c c m m
 P m c c c m m c c m m c c m m c c m m
 Q c c m m m m m m m m m m m m m m c m
 R c c m m m m m m m m m m m m m m m c


